PassengerId,Age,ServiceCost,CryoInt,VIPInt
0001_01,39.0,0.0,0,0
0002_01,24.0,736.0,0,0
0003_01,58.0,10383.0,0,1
0003_02,33.0,5176.0,0,0
0004_01,16.0,1091.0,0,0
0005_01,44.0,774.0,0,0
0006_01,26.0,1584.0,0,0
0007_01,35.0,1018.0,0,0
0008_01,14.0,0.0,1,0
0008_03,45.0,8157.0,0,0
0009_01,32.0,1309.0,0,0
0010_01,48.0,809.0,0,0
0011_01,28.0,1003.0,0,0
0012_01,31.0,908.0,0,0
0015_01,24.0,638.0,0,0
0016_01,45.0,0.0,1,0
0017_01,0.0,0.0,0,0
0017_02,14.0,1092.0,0,0
0020_01,1.0,0.0,1,0
0020_02,49.0,0.0,1,0
0020_04,10.0,0.0,0,0
0020_06,7.0,0.0,0,0
0022_01,21.0,1051.0,0,0
0025_01,15.0,1223.0,0,0
0026_01,34.0,7861.0,0,0
0028_01,43.0,1309.0,0,0
0030_01,32.0,1821.0,0,0
0031_01,47.0,2854.0,0,0
0031_02,2.0,0.0,0,0
0034_01,28.0,0.0,1,0
0035_01,23.0,2699.0,0,0
0038_01,20.0,3355.0,0,0
0041_01,17.0,0.0,1,0
0043_01,45.0,3575.0,0,0
0044_01,55.0,0.0,1,0
0044_02,4.0,0.0,1,0
0044_03,21.0,0.0,1,0
0045_01,21.0,1214.0,0,0
0045_02,19.0,0.0,1,0
0051_01,56.0,1618.0,0,0
0053_01,25.0,1939.0,0,0
0056_01,2.0,0.0,0,0
0056_02,38.0,0.0,1,0
0056_03,27.0,4547.0,0,0
0058_01,36.0,0.0,1,0
0061_01,22.0,2667.0,0,0
0062_01,62.0,634.0,0,0
0064_01,15.0,0.0,1,0
0066_01,62.0,811.0,0,0
0067_01,0.0,0.0,1,0
0067_02,18.0,705.0,0,0
0067_03,21.0,2007.0,0,0
0069_01,42.0,902.0,0,0
0070_01,19.0,922.0,0,0
0071_01,17.0,2233.0,0,0
0072_01,14.0,1064.0,0,0
0073_01,37.0,879.0,0,0
0074_01,42.0,8904.0,0,0
0076_01,27.0,1165.0,0,0
0077_01,28.0,1309.0,0,0
0078_01,38.0,15815.0,0,0
0081_01,13.0,0.0,1,0
0082_01,42.0,7406.0,0,0
0082_02,2.0,0.0,1,0
0082_03,8.0,0.0,0,0
0084_01,24.0,705.0,0,0
0085_01,40.0,0.0,1,0
0086_01,43.0,1362.0,0,0
0088_01,45.0,0.0,1,0
0090_01,35.0,0.0,1,0
0091_02,27.0,917.0,0,0
0092_01,19.0,705.0,0,0
0092_03,3.0,0.0,1,0
0097_01,54.0,1848.0,0,0
0098_01,26.0,893.0,0,0
0098_02,26.0,3855.0,0,0
0099_01,23.0,1301.0,0,0
0101_01,31.0,0.0,1,0
0102_01,18.0,921.0,0,0
0103_02,9.0,0.0,1,0
0103_03,6.0,0.0,1,0
0107_01,21.0,1765.0,0,0
0108_01,23.0,0.0,1,0
0108_02,31.0,888.0,0,0
0110_01,32.0,5109.0,0,0
0110_03,42.0,15940.0,0,0
0110_04,28.0,0.0,1,0
0111_01,29.0,0.0,1,0
0112_01,48.0,2654.0,0,1
0113_01,64.0,804.0,0,0
0114_01,27.0,907.0,0,0
0116_01,33.0,2640.0,0,0
0119_01,39.0,9307.0,0,0
0119_02,13.0,0.0,1,0
0122_01,29.0,773.0,0,0
0123_01,18.0,702.0,0,0
0126_01,67.0,0.0,1,0
0127_01,35.0,1022.0,0,0
0128_01,61.0,3014.0,0,1
0128_02,45.0,2109.0,0,0
0133_01,19.0,0.0,1,0
0133_02,36.0,2738.0,0,0
0134_01,19.0,744.0,0,0
0136_01,47.0,721.0,0,0
0138_01,13.0,0.0,1,0
0138_02,34.0,793.0,0,0
0139_01,35.0,0.0,1,0
0140_01,24.0,0.0,1,0
0140_02,26.0,902.0,0,0
0144_01,20.0,630.0,0,0
0146_01,56.0,0.0,0,0
0147_01,50.0,0.0,1,0
0148_01,42.0,1158.0,0,0
0151_01,38.0,0.0,1,0
0152_01,41.0,607.0,0,0
0160_01,22.0,4180.0,0,0
0163_01,26.0,0.0,1,0
0163_02,17.0,0.0,1,0
0164_02,17.0,0.0,1,0
0167_01,13.0,0.0,1,0
0167_02,27.0,1572.0,0,0
0169_01,31.0,0.0,1,0
0170_01,24.0,788.0,0,0
0171_01,19.0,0.0,1,0
0172_01,32.0,0.0,1,0
0174_01,21.0,593.0,0,0
0177_01,38.0,27428.0,0,0
0178_01,38.0,3722.0,0,0
0179_01,19.0,906.0,0,0
0179_02,0.0,0.0,0,0
0179_03,3.0,0.0,0,0
0181_01,20.0,394.0,0,0
0182_01,24.0,0.0,1,0
0183_01,37.0,821.0,0,0
0186_01,25.0,1018.0,0,0
0188_01,56.0,0.0,1,0
0189_01,49.0,788.0,0,0
0190_01,11.0,0.0,1,0
0192_01,1.0,0.0,1,0
0192_02,8.0,0.0,0,0
0192_03,39.0,908.0,0,0
0193_01,2.0,0.0,1,0
0193_03,0.0,0.0,0,0
0195_01,39.0,1273.0,0,0
0196_01,25.0,1778.0,0,0
0197_01,36.0,2342.0,0,0
0199_01,18.0,0.0,1,0
0200_01,15.0,0.0,1,0
0201_01,35.0,0.0,1,0
0201_02,47.0,0.0,1,0
0202_01,45.0,0.0,1,0
0203_01,51.0,0.0,1,0
0205_01,29.0,773.0,0,0
0207_01,19.0,0.0,1,0
0211_01,29.0,1040.0,0,0
0211_02,11.0,0.0,1,0
0211_03,17.0,1337.0,0,0
0212_01,13.0,982.0,0,0
0212_02,35.0,732.0,0,0
0213_01,21.0,794.0,0,0
0216_01,21.0,1974.0,0,0
0217_01,38.0,1544.0,0,0
0219_01,19.0,0.0,1,0
0220_01,2.0,0.0,1,0
0220_02,0.0,0.0,0,0
0220_03,13.0,0.0,1,0
0220_05,16.0,1102.0,0,0
0220_06,1.0,0.0,0,0
0220_07,15.0,0.0,1,0
0221_01,21.0,2356.0,0,0
0221_02,23.0,1298.0,0,0
0221_03,33.0,2134.0,0,0
0221_04,21.0,0.0,1,0
0221_05,41.0,2597.0,0,0
0221_06,16.0,1370.0,0,0
0221_07,42.0,0.0,1,0
0222_01,20.0,1417.0,0,0
0222_02,24.0,0.0,1,0
0222_03,16.0,0.0,1,0
0223_01,21.0,676.0,0,0
0224_01,32.0,1820.0,0,1
0225_01,58.0,0.0,1,0
0229_01,24.0,803.0,0,0
0231_01,30.0,1806.0,0,0
0233_01,32.0,1750.0,0,0
0237_01,42.0,0.0,1,0
